yabby_kod,Asset,DataLogged,Latitude,Longitude,PositionAccuracy,LogReason,Battery,CINSI,SIPNO,SIRA,PARKAYNO,KUMNO,PARKUMNO,MUSTERI,KUMAS,MIKTAR,TAMIR_NEDENI,ARGE_yabby,BITTI,CREATEDATE,Yabby_Aktif,ENDDATE,zone_check
0016C001F001A1A5,1 nr.,2023-05-30T06:43:25.0000000Z,38.6184775,27.3657618,2,Heartbeat,3106,P,359915,1,779275,534870,962238,AKAR 1,SÜPREM 30/1 P AÐAÇ KABUÐU GAZE,125.00,,1,True,2023-05-28 21:50:00,True,,1
0016C001F001A1A5,1 nr.,2023-05-30T06:43:25.0000000Z,38.6184775,27.3657618,2,Heartbeat,3106,A,358597,1,778568,532466,961390,AKAR 1,SÜPREM 30/1 PENYE,430.00,,1,True,2023-05-28 18:37:00,True,,1
0016C001F001A1A5,1 nr.,2023-05-30T06:00:48.0000000Z,38.6181371,27.3655076,2,ElapsedTime,3106,P,359915,1,779275,534870,962238,AKAR 1,SÜPREM 30/1 P AÐAÇ KABUÐU GAZE,125.00,,1,True,2023-05-28 21:50:00,True,,4
0016C001F001A1A5,1 nr.,2023-05-30T06:00:48.0000000Z,38.6181371,27.3655076,2,ElapsedTime,3106,A,358597,1,778568,532466,961390,AKAR 1,SÜPREM 30/1 PENYE,430.00,,1,True,2023-05-28 18:37:00,True,,4
0016C001F001A1A5,1 nr.,2023-05-30T05:31:02.0000000Z,38.6182058,27.3655691,2,Heartbeat,3106,P,359915,1,779275,534870,962238,AKAR 1,SÜPREM 30/1 P AÐAÇ KABUÐU GAZE,125.00,,1,True,2023-05-28 21:50:00,True,,4
0016C001F001A1A5,1 nr.,2023-05-30T05:31:02.0000000Z,38.6182058,27.3655691,2,Heartbeat,3106,A,358597,1,778568,532466,961390,AKAR 1,SÜPREM 30/1 PENYE,430.00,,1,True,2023-05-28 18:37:00,True,,4
0016C001F001A1A5,1 nr.,2023-05-30T04:30:51.0000000Z,38.6182766,27.3654159,2,Heartbeat,3106,P,359915,1,779275,534870,962238,AKAR 1,SÜPREM 30/1 P AÐAÇ KABUÐU GAZE,125.00,,1,True,2023-05-28 21:50:00,True,,4
0016C001F001A1A5,1 nr.,2023-05-30T04:30:51.0000000Z,38.6182766,27.3654159,2,Heartbeat,3106,A,358597,1,778568,532466,961390,AKAR 1,SÜPREM 30/1 PENYE,430.00,,1,True,2023-05-28 18:37:00,True,,4
0016C001F001A1A5,1 nr.,2023-05-30T03:30:36.0000000Z,38.6182261,27.3656049,2,Heartbeat,3106,P,359915,1,779275,534870,962238,AKAR 1,SÜPREM 30/1 P AÐAÇ KABUÐU GAZE,125.00,,1,True,2023-05-28 21:50:00,True,,4
0016C001F001A1A5,1 nr.,2023-05-30T03:30:36.0000000Z,38.6182261,27.3656049,2,Heartbeat,3106,A,358597,1,778568,532466,961390,AKAR 1,SÜPREM 30/1 PENYE,430.00,,1,True,2023-05-28 18:37:00,True,,4
0016C001F001A1A5,1 nr.,2023-05-30T02:30:22.0000000Z,38.6182253,27.3656041,2,Heartbeat,3106,P,359915,1,779275,534870,962238,AKAR 1,SÜPREM 30/1 P AÐAÇ KABUÐU GAZE,125.00,,1,True,2023-05-28 21:50:00,True,,4
0016C001F001A1A5,1 nr.,2023-05-30T02:30:22.0000000Z,38.6182253,27.3656041,2,Heartbeat,3106,A,358597,1,778568,532466,961390,AKAR 1,SÜPREM 30/1 PENYE,430.00,,1,True,2023-05-28 18:37:00,True,,4
0016C001F001A1A5,1 nr.,2023-05-30T01:30:11.0000000Z,38.6181898,27.3656005,2,Heartbeat,3106,P,359915,1,779275,534870,962238,AKAR 1,SÜPREM 30/1 P AÐAÇ KABUÐU GAZE,125.00,,1,True,2023-05-28 21:50:00,True,,4
0016C001F001A1A5,1 nr.,2023-05-30T01:30:11.0000000Z,38.6181898,27.3656005,2,Heartbeat,3106,A,358597,1,778568,532466,961390,AKAR 1,SÜPREM 30/1 PENYE,430.00,,1,True,2023-05-28 18:37:00,True,,4
0016C001F001A1A5,1 nr.,2023-05-30T00:29:58.0000000Z,38.6181924,27.3655756,2,Heartbeat,3106,P,359915,1,779275,534870,962238,AKAR 1,SÜPREM 30/1 P AÐAÇ KABUÐU GAZE,125.00,,1,True,2023-05-28 21:50:00,True,,4
0016C001F001A1A5,1 nr.,2023-05-30T00:29:58.0000000Z,38.6181924,27.3655756,2,Heartbeat,3106,A,358597,1,778568,532466,961390,AKAR 1,SÜPREM 30/1 PENYE,430.00,,1,True,2023-05-28 18:37:00,True,,4
0016C001F001A1A5,1 nr.,2023-05-29T23:29:47.0000000Z,38.6182261,27.3656048,2,Heartbeat,3106,P,359915,1,779275,534870,962238,AKAR 1,SÜPREM 30/1 P AÐAÇ KABUÐU GAZE,125.00,,1,True,2023-05-28 21:50:00,True,,4
0016C001F001A1A5,1 nr.,2023-05-29T23:29:47.0000000Z,38.6182261,27.3656048,2,Heartbeat,3106,A,358597,1,778568,532466,961390,AKAR 1,SÜPREM 30/1 PENYE,430.00,,1,True,2023-05-28 18:37:00,True,,4
0016C001F001A1A5,1 nr.,2023-05-29T22:29:34.0000000Z,38.6181708,27.3655568,2,Heartbeat,3106,P,359915,1,779275,534870,962238,AKAR 1,SÜPREM 30/1 P AÐAÇ KABUÐU GAZE,125.00,,1,True,2023-05-28 21:50:00,True,,4
